Name,Job_Role,Experience_Numeric_Weight,Technical_Skill_Proficiency,P1_Big5_Openness,P1_Big5_Conscientiousness,P1_Big5_Extraversion,P1_Big5_Agreeableness,P1_Big5_Neuroticism,P1_Dark_Machiavellianism,P1_Dark_Narcissism,P1_Dark_Psychopathy,P2_Behavior_Self_Efficacy,P2_Behavior_Self_Monitoring,P2_Behavior_Proactivity,P2_Behavior_Action_Orient,P2_Behavior_Psych_Capital,P3_Attitude_Utilitarian,P3_Attitude_Value_Express,P3_Attitude_Ego_Defensive,P3_Attitude_Knowledge,P4_Emotion_Pos_High_Act,P4_Emotion_Prosocial_Aff,P4_Emotion_Neg_High_Act,P4_Emotion_Neg_Low_Act,P4_Emotion_Threat_Apprehend,P5_Comm_Instrumental,P5_Comm_Expressive,P5_Comm_Controlled,P6_EI_Self_Control,P6_EI_Conflict_Management,P6_EI_Empathy_Resolution,P6_EI_Isolated_Focus,P7_Value_Openness_Change,P7_Value_Conservation,P7_Value_Social_Focus,P7_Value_Personal_Focus,P8_Interdep_Positive,P8_Interdep_Negative,P8_Interdep_No,Cluster_ID,PCA_X,PCA_Y
Lori Gonzalez,Software Engineer,0.5,0.85,0.59,0.4,0.85,0.47,0.76,0.92,0.83,0.46,0.74,0.67,0.79,0.62,0.48,0.55,0.34,0.72,0.54,0.39,0.21,0.82,0.44,0.57,0.52,0.33,0.5,0.17,0.54,0.45,0.56,0.99,0.64,0.11,0.96,0.31,0.68,0.34,2,4.559584044566535,4.792550407881989
James Orr PhD,Software Engineer,1.0,0.98,0.26,0.44,0.68,0.74,0.14,0.2,0.39,0.15,0.65,0.81,0.28,0.62,0.79,0.4,0.66,0.22,0.66,0.94,0.6,0.34,0.48,0.11,0.42,0.79,0.9,0.99,0.66,0.8,0.33,0.73,0.58,0.71,0.2,0.62,0.01,0.07,3,-3.8928168304476203,-1.0989366450073466
Benjamin Carney,Software Engineer,0.5,0.82,0.64,0.99,0.58,0.27,0.26,0.22,0.49,0.5,0.59,0.61,0.39,0.75,0.41,0.68,0.43,0.35,0.91,0.35,0.32,0.42,0.65,0.4,0.88,0.41,0.87,0.51,0.33,0.35,0.99,0.78,0.67,0.4,0.55,0.69,0.37,0.96,1,3.7805658159231625,-1.7422298558559282
Allison Williams,Software Engineer,1.0,0.96,0.6,0.76,0.05,0.41,0.43,0.03,0.42,0.18,0.74,0.22,0.48,0.95,0.54,0.37,0.63,0.48,0.86,0.59,0.46,0.6,0.56,0.33,0.99,0.57,0.89,0.71,0.32,0.55,0.91,0.7,0.7,0.36,0.83,0.56,0.1,0.7,1,2.703920946979721,-2.8889921307171234
Gary Williams,Data Scientist,1.0,0.9,0.95,0.8,0.18,0.66,0.39,0.63,0.22,0.01,0.71,0.52,0.36,0.5,0.63,0.48,0.5,0.35,0.92,0.29,0.64,0.32,0.56,0.54,0.63,0.43,0.54,0.44,0.74,0.62,0.99,0.64,0.62,0.43,0.75,0.29,0.17,0.88,1,2.3307575932057882,-2.3985054009894764
Tyler Howard,Software Engineer,0.5,0.88,0.54,0.76,0.57,0.62,0.17,0.36,0.17,0.1,0.71,0.66,0.48,0.5,0.71,0.23,0.71,0.41,0.84,0.89,0.87,0.5,0.65,0.33,0.3,0.95,0.42,0.62,0.54,0.96,0.01,0.8,0.82,0.99,0.16,0.57,0.1,0.43,3,-3.3293253460522583,-0.6198719857038842
Linda Stone,Software Engineer,1.0,0.94,0.89,0.81,0.93,0.75,0.43,0.45,0.49,0.23,0.97,0.47,0.99,0.76,0.63,0.49,0.75,0.35,0.94,0.66,0.46,0.39,0.14,0.25,0.75,0.82,0.73,0.4,0.75,0.5,0.46,0.91,0.2,0.51,0.83,0.7,0.37,0.5,0,-0.6130473311572593,1.732082580614999
Gina Johnson,Software Engineer,0.0,0.76,0.82,0.75,0.77,0.66,0.18,0.36,0.78,0.3,0.69,0.71,0.91,0.56,0.99,0.92,0.67,0.32,0.7,0.98,0.62,0.44,0.46,0.42,0.56,0.88,0.67,0.64,0.79,0.55,0.22,0.99,0.15,0.9,0.74,0.89,0.4,0.54,0,-2.049787342294343,2.512344032759206
Cassandra Figueroa,Software Engineer,1.0,0.94,0.65,0.91,0.35,0.67,0.47,0.72,0.33,0.24,0.66,0.41,0.53,0.74,0.61,0.61,0.32,0.34,0.99,0.7,0.44,0.21,0.44,0.71,0.95,0.38,0.89,0.88,0.28,0.39,0.77,0.79,0.62,0.46,0.67,0.61,0.29,0.95,1,3.0446082294569257,-2.409124841050089
Joshua Gonzales,Software Engineer,0.0,0.8,0.86,0.91,0.41,0.79,0.55,0.48,0.32,0.15,0.99,0.39,0.48,0.74,0.63,0.94,0.53,0.2,0.75,0.5,0.6,0.12,0.52,0.51,0.93,0.29,0.91,0.53,0.59,0.44,0.86,0.7,0.7,0.18,0.88,0.53,0.25,0.85,1,3.127985509526843,-2.7429725703732597
Margaret Lopez,Software Engineer,0.0,0.79,0.73,0.58,0.49,0.79,0.31,0.29,0.5,0.01,0.58,0.57,0.35,0.51,0.85,0.52,0.61,0.13,0.33,0.73,0.74,0.5,0.36,0.27,0.35,0.53,0.39,0.66,0.75,0.7,0.36,0.73,0.48,0.99,0.09,0.86,0.17,0.22,3,-3.317360174139647,0.12528383909253685
Billy Gallagher,Software Engineer,0.5,0.85,0.64,0.65,0.16,0.46,0.29,0.22,0.32,0.18,0.78,0.34,0.26,0.55,0.55,0.63,0.24,0.5,0.9,0.41,0.43,0.19,0.58,0.71,0.7,0.48,0.62,0.57,0.67,0.43,0.95,0.66,0.33,0.7,0.72,0.42,0.19,0.97,1,2.9756910333764233,-2.3004603341123517
Gary Williams,Software Engineer,1.0,0.71,0.73,0.68,0.98,0.99,0.14,0.33,0.25,0.33,0.58,0.59,0.43,0.49,0.67,0.31,0.88,0.52,0.4,0.89,0.78,0.3,0.05,0.38,0.15,0.8,0.64,0.78,0.74,0.93,0.36,0.62,0.65,0.84,0.43,0.83,0.23,0.39,3,-4.234356975452907,0.24698525349974693
Larry Zimmerman,Financial Analyst,0.5,0.9,0.72,0.62,0.68,0.87,0.42,0.15,0.47,0.19,0.54,0.74,0.38,0.4,0.89,0.52,0.75,0.26,0.51,0.73,0.99,0.4,0.29,0.28,0.39,0.54,0.53,0.85,0.71,0.81,0.13,0.77,0.36,0.94,0.5,0.8,0.1,0.37,3,-3.7620915529454053,0.07324953667565222
Robert Barton,Software Engineer,1.0,0.92,0.64,0.89,0.05,0.46,0.63,0.32,0.13,0.16,0.66,0.72,0.75,0.81,0.55,0.88,0.28,0.56,0.99,0.48,0.62,0.28,0.26,0.55,0.79,0.39,0.99,0.54,0.43,0.69,0.95,0.6,0.46,0.27,0.64,0.44,0.31,0.89,1,3.3065212857327113,-2.2796886608274196
Catherine Johnson,Software Engineer,0.0,0.72,0.57,0.49,0.59,0.22,0.6,0.67,0.57,0.46,0.49,0.71,0.67,0.72,0.37,0.91,0.36,0.84,0.62,0.54,0.27,0.66,0.54,0.75,0.78,0.39,0.52,0.14,0.3,0.15,0.58,0.74,0.55,0.01,0.76,0.08,0.96,0.41,2,6.216973253807527,3.822051242806454
Blake Hobbs,Software Engineer,0.0,0.79,0.5,0.73,0.44,0.3,0.69,0.99,0.87,0.81,0.78,0.47,0.65,0.63,0.26,0.71,0.23,0.92,0.49,0.4,0.06,0.74,0.41,0.59,0.58,0.48,0.33,0.16,0.15,0.12,0.57,0.57,0.49,0.3,0.74,0.46,0.73,0.57,2,6.636936175396431,4.821884029476575
Victoria Ryan,Data Scientist,0.5,0.82,0.68,0.61,0.77,0.81,0.42,0.2,0.28,0.2,0.9,0.66,0.71,0.48,0.81,0.28,0.69,0.15,0.7,0.63,0.93,0.17,0.3,0.52,0.34,0.64,0.56,0.75,0.94,0.86,0.34,0.48,0.6,0.9,0.45,0.8,0.2,0.41,3,-3.6018315077709753,-0.6240272835012901
Jessica Ross,Software Engineer,0.0,0.79,0.49,0.71,0.38,0.31,0.19,0.71,0.15,0.5,0.72,0.32,0.59,0.9,0.43,0.62,0.58,0.44,0.99,0.58,0.72,0.38,0.48,0.45,0.78,0.43,0.79,0.77,0.59,0.51,0.93,0.55,0.52,0.48,0.96,0.11,0.21,0.85,1,3.225816350506301,-1.6799899883826035
Linda Stone,Software Engineer,1.0,0.88,0.56,0.58,0.82,0.72,0.47,0.26,0.3,0.03,0.78,0.68,0.66,0.66,0.99,0.42,0.99,0.33,0.62,0.64,0.98,0.2,0.18,0.23,0.42,0.99,0.64,0.65,0.99,0.88,0.49,0.94,0.33,0.49,0.65,0.75,0.01,0.22,3,-4.1093516567130735,0.2883575888769096
Kayla Armstrong,Software Engineer,0.0,0.7,0.49,0.47,0.7,0.99,0.16,0.01,0.34,0.14,0.8,0.68,0.51,0.58,0.81,0.34,0.67,0.01,0.52,0.81,0.98,0.18,0.49,0.3,0.25,0.5,0.78,0.69,0.67,0.51,0.24,0.71,0.45,0.69,0.27,0.99,0.01,0.2,3,-4.309370618570983,-1.3742520706617054
James Payne,Software Engineer,1.0,0.9,0.69,0.87,0.05,0.53,0.35,0.06,0.38,0.31,0.78,0.48,0.54,0.81,0.46,0.49,0.28,0.28,0.99,0.38,0.37,0.31,0.4,0.67,0.54,0.63,0.77,0.79,0.45,0.57,0.71,0.5,0.99,0.64,0.59,0.51,0.47,0.95,1,2.3570679888777075,-3.0820607492670478
Michael Harrell,HR Executive,1.0,0.92,0.79,0.85,0.17,0.47,0.32,0.44,0.22,0.33,0.62,0.36,0.59,0.59,0.7,0.78,0.41,0.57,0.86,0.67,0.72,0.31,0.55,0.3,0.65,0.27,0.55,0.51,0.54,0.37,0.96,0.74,0.88,0.43,0.92,0.46,0.35,0.99,1,3.163493004648563,-1.970678593244565
Pamela Vargas,Software Engineer,1.0,0.9,0.83,0.64,0.05,0.59,0.5,0.24,0.4,0.11,0.84,0.49,0.59,0.75,0.56,0.67,0.62,0.46,0.92,0.51,0.55,0.49,0.36,0.49,0.77,0.35,0.88,0.43,0.29,0.35,0.74,0.68,0.85,0.53,0.66,0.53,0.29,0.9,1,2.9342380801273906,-2.137628104076202
Kayla Armstrong,Software Engineer,0.0,0.81,0.64,0.33,0.71,0.87,0.07,0.24,0.3,0.01,0.79,0.88,0.51,0.57,0.91,0.37,0.46,0.32,0.48,0.64,0.99,0.23,0.3,0.38,0.53,0.61,0.59,0.76,0.89,0.89,0.69,0.47,0.7,0.99,0.42,0.75,0.45,0.01,3,-3.8465561667757022,-0.2565869390458129
Ann White,Software Engineer,1.0,0.92,0.99,0.58,0.54,0.4,0.38,0.44,0.74,0.08,0.63,0.81,0.63,0.76,0.75,0.55,0.74,0.04,0.97,0.8,0.52,0.8,0.05,0.09,0.91,0.52,0.57,0.51,0.46,0.68,0.48,0.85,0.66,0.53,0.88,0.75,0.55,0.32,0,-0.3782603006346022,1.6604944222630704
Heather Jackson,Marketing Manager,0.0,0.79,0.8,0.82,0.33,0.5,0.64,0.39,0.35,0.21,0.88,0.51,0.46,0.53,0.46,0.67,0.65,0.36,0.76,0.24,0.68,0.44,0.57,0.54,0.78,0.31,0.97,0.68,0.54,0.58,0.95,0.68,0.59,0.47,0.87,0.58,0.38,0.94,1,3.2417188761391076,-2.195890211344907
Ashley Patterson,Software Engineer,0.5,0.86,0.48,0.52,0.77,0.92,0.65,0.18,0.22,0.29,0.65,0.65,0.46,0.57,0.96,0.46,0.62,0.53,0.46,0.59,0.99,0.47,0.35,0.11,0.46,0.54,0.97,0.79,0.97,0.79,0.57,0.57,0.42,0.9,0.48,0.99,0.44,0.48,3,-2.8801935067084528,-0.27162534453476644
Billy Gallagher,Software Engineer,0.5,0.84,0.54,0.43,0.72,0.73,0.01,0.08,0.15,0.05,0.45,0.69,0.44,0.66,0.89,0.44,0.71,0.21,0.47,0.58,0.96,0.01,0.29,0.25,0.54,0.54,0.6,0.8,0.56,0.69,0.29,0.73,0.58,0.93,0.19,0.61,0.21,0.12,3,-4.165827642817827,-1.4188624436837551
Joanne Schmidt,Software Engineer,0.5,0.8,0.88,0.68,0.99,0.61,0.63,0.74,0.65,0.29,0.87,0.62,0.87,0.58,0.64,0.77,0.73,0.33,0.76,0.99,0.49,0.18,0.34,0.33,0.81,0.57,0.27,0.64,0.73,0.55,0.62,0.85,0.53,0.78,0.59,0.57,0.21,0.46,0,-0.5508086151714293,2.353614130861228
Cassandra Figueroa,Software Engineer,1.0,0.92,0.62,0.72,0.93,0.57,0.33,0.4,0.97,0.12,0.98,0.7,0.72,0.79,0.54,0.56,0.64,0.12,0.78,0.71,0.33,0.24,0.58,0.01,0.77,0.64,0.45,0.69,0.78,0.5,0.2,0.94,0.43,0.61,0.82,0.63,0.28,0.4,0,-1.0233020331591498,1.7645885686998133
Andrew Perez,Software Engineer,0.0,0.71,0.79,0.96,0.97,0.7,0.46,0.44,0.78,0.08,0.99,0.81,0.92,0.69,0.89,0.82,0.54,0.25,0.54,0.93,0.54,0.72,0.02,0.12,0.7,0.85,0.59,0.61,0.75,0.62,0.56,0.77,0.28,0.75,0.99,0.6,0.44,0.34,0,-1.3278812037067214,3.0795844197126145
Jeffrey Gonzalez,Software Engineer,0.5,0.85,0.57,0.71,0.55,0.88,0.15,0.01,0.28,0.38,0.43,0.77,0.67,0.95,0.73,0.31,0.57,0.42,0.47,0.64,0.57,0.38,0.47,0.43,0.21,0.84,0.35,0.76,0.88,0.9,0.38,0.65,0.26,0.93,0.36,0.71,0.01,0.53,3,-3.446886583188223,0.13104396023969186
Ann White,Software Engineer,1.0,0.89,0.68,0.99,0.6,0.46,0.44,0.4,0.39,0.29,0.95,0.13,0.4,0.8,0.53,0.74,0.61,0.64,0.89,0.72,0.47,0.3,0.22,0.25,0.8,0.3,0.78,0.93,0.56,0.57,0.99,0.65,0.52,0.53,0.82,0.39,0.29,0.82,1,2.604299377478145,-2.055783441273656
Allison Williams,Software Engineer,1.0,0.94,0.6,0.72,0.21,0.62,0.56,0.43,0.44,0.35,0.38,0.4,0.23,0.78,0.29,0.67,0.53,0.23,0.99,0.58,0.51,0.45,0.4,0.42,0.8,0.3,0.65,0.46,0.4,0.39,0.74,0.83,0.42,0.32,0.92,0.54,0.48,0.76,1,3.5018623444292105,-0.870166201642703
Michael Harrell,Software Engineer,1.0,0.95,0.76,0.79,0.66,0.79,0.11,0.01,0.42,0.25,0.72,0.32,0.52,0.69,0.99,0.44,0.78,0.15,0.66,0.66,0.74,0.08,0.16,0.35,0.24,0.71,0.8,0.53,0.92,0.93,0.26,0.74,0.52,0.97,0.19,0.99,0.42,0.01,3,-4.498720900955309,-0.865165599902876
Charles Carroll,Financial Analyst,1.0,0.97,0.83,0.99,0.14,0.61,0.41,0.37,0.44,0.14,0.99,0.6,0.42,0.54,0.59,0.73,0.61,0.22,0.89,0.27,0.52,0.33,0.74,0.17,0.99,0.04,0.55,0.4,0.49,0.27,0.65,0.73,0.67,0.36,0.73,0.67,0.32,0.97,1,3.3049990401782305,-2.3461728744368293
Linda Stone,Software Engineer,1.0,0.97,0.4,0.68,0.56,0.55,0.01,0.11,0.38,0.34,0.86,0.52,0.52,0.51,0.78,0.61,0.77,0.38,0.93,0.47,0.78,0.34,0.34,0.46,0.39,0.78,0.49,0.91,0.86,0.99,0.51,0.46,0.78,0.99,0.33,0.98,0.12,0.5,3,-2.9049393624381126,-1.427551468513506
Douglas Weber,Software Engineer,1.0,0.89,0.84,0.57,0.64,0.19,0.59,0.82,0.63,0.61,0.63,0.66,0.34,0.48,0.34,0.8,0.51,0.99,0.6,0.26,0.2,0.84,0.57,0.7,0.74,0.4,0.66,0.36,0.2,0.52,0.38,0.03,0.57,0.39,0.91,0.1,0.79,0.46,2,6.076445758270775,3.276296103086524
Joshua Carter,Data Scientist,1.0,0.92,0.99,0.65,0.86,0.6,0.3,0.3,0.67,0.47,0.94,0.79,0.78,0.9,0.8,0.78,0.66,0.44,0.63,0.95,0.36,0.35,0.15,0.78,0.8,0.59,0.29,0.34,0.53,0.47,0.25,0.78,0.48,0.62,0.86,0.54,0.34,0.26,0,-0.07475760739113961,3.349345783896356
Jennifer Edwards,Software Engineer,0.0,0.78,0.58,0.75,0.83,0.99,0.19,0.18,0.15,0.01,0.68,0.63,0.73,0.38,0.87,0.25,0.63,0.33,0.5,0.62,0.73,0.52,0.21,0.31,0.42,0.78,0.51,0.72,0.91,0.72,0.46,0.83,0.64,0.86,0.01,0.91,0.14,0.26,3,-4.388455742336727,-0.449239721266
Benjamin Ritter,Software Engineer,0.0,0.76,0.79,0.55,0.38,0.43,0.28,0.46,0.57,0.38,0.63,0.5,0.46,0.87,0.63,0.48,0.41,0.28,0.73,0.45,0.49,0.49,0.37,0.58,0.54,0.17,0.99,0.48,0.64,0.45,0.84,0.84,0.72,0.55,0.71,0.42,0.26,0.68,1,2.4662092393245505,-1.1744049228147957
Stephanie Smith,Software Engineer,0.5,0.81,0.64,0.82,0.61,0.82,0.11,0.23,0.42,0.24,0.47,0.77,0.45,0.75,0.78,0.17,0.72,0.32,0.64,0.62,0.76,0.1,0.24,0.17,0.6,0.61,0.62,0.76,0.99,0.99,0.4,0.7,0.39,0.69,0.22,0.96,0.21,0.43,3,-3.9658488176275863,-0.9941925482432279
Ashley Patterson,Software Engineer,0.5,0.84,0.49,0.81,0.59,0.9,0.27,0.01,0.25,0.2,0.8,0.75,0.69,0.68,0.89,0.49,0.71,0.1,0.84,0.82,0.84,0.34,0.36,0.17,0.4,0.95,0.6,0.81,0.99,0.85,0.16,0.67,0.47,0.64,0.47,0.81,0.01,0.34,3,-4.33985975597676,-1.0281260780030042
Jeffrey Duke,Software Engineer,1.0,0.9,0.99,0.71,0.62,0.55,0.26,0.59,0.6,0.11,0.63,0.7,0.49,0.72,0.78,0.49,0.8,0.53,0.55,0.81,0.7,0.4,0.04,0.23,0.57,0.92,0.59,0.55,0.72,0.4,0.29,0.99,0.36,0.79,0.78,0.9,0.1,0.37,0,-2.286717344080785,1.7971623512752146
Meagan Orozco,Data Scientist,0.0,0.79,0.75,0.99,0.23,0.57,0.59,0.18,0.29,0.01,0.77,0.46,0.6,0.94,0.61,0.53,0.32,0.29,0.88,0.85,0.44,0.56,0.43,0.23,0.68,0.19,0.73,0.71,0.35,0.57,0.99,0.66,0.74,0.06,0.4,0.52,0.24,0.99,1,2.6033450337512227,-3.2226688661932346
Kevin Murphy,Software Engineer,0.0,0.81,0.59,0.66,0.99,0.69,0.14,0.45,0.21,0.21,0.81,0.82,0.58,0.74,0.67,0.33,0.83,0.01,0.81,0.75,0.87,0.01,0.11,0.24,0.57,0.44,0.72,0.7,0.82,0.89,0.34,0.54,0.64,0.5,0.28,0.87,0.15,0.03,3,-3.9484638812571546,-0.9244800603118878
Joshua Carter,Marketing Manager,1.0,0.93,0.53,0.55,0.76,0.87,0.37,0.13,0.39,0.15,0.74,0.74,0.82,0.23,0.89,0.53,0.56,0.52,0.6,0.68,0.91,0.38,0.32,0.32,0.58,0.9,0.65,0.52,0.7,0.99,0.26,0.56,0.62,0.9,0.32,0.96,0.01,0.04,3,-3.900015407681901,0.7349300991497216
Gary Williams,Software Engineer,1.0,0.97,0.57,0.99,0.29,0.45,0.18,0.33,0.09,0.19,0.99,0.5,0.47,0.8,0.52,0.58,0.71,0.23,0.8,0.55,0.31,0.45,0.4,0.5,0.89,0.26,0.99,0.55,0.65,0.63,0.99,0.73,0.48,0.66,0.7,0.28,0.27,0.7,1,2.2204886393130043,-2.7340709308710966
Jennifer Burke,Software Engineer,1.0,0.93,0.66,0.7,0.74,0.48,0.26,0.29,0.3,0.32,0.64,0.81,0.4,0.69,0.92,0.29,0.54,0.18,0.45,0.79,0.78,0.36,0.07,0.18,0.34,0.79,0.29,0.71,0.8,0.9,0.31,0.51,0.21,0.73,0.16,0.67,0.09,0.42,3,-3.8904056555468554,0.9122209943655097
Margaret Lopez,Software Engineer,0.0,0.75,0.49,0.74,0.43,0.42,0.46,0.26,0.45,0.2,0.57,0.36,0.78,0.97,0.67,0.68,0.5,0.45,0.84,0.57,0.48,0.3,0.27,0.33,0.92,0.3,0.8,0.61,0.29,0.41,0.7,0.54,0.78,0.29,0.64,0.64,0.42,0.79,1,2.644283077844224,-1.5235081672439725
Margaret Lopez,Software Engineer,0.0,0.77,0.58,0.56,0.65,0.14,0.73,0.9,0.81,0.48,0.55,0.69,0.68,0.34,0.66,0.77,0.49,0.61,0.53,0.26,0.27,0.81,0.57,0.43,0.47,0.49,0.34,0.29,0.21,0.29,0.59,0.7,0.14,0.05,0.91,0.01,0.69,0.85,2,5.670919038347077,4.530533799897358
James Payne,Software Engineer,1.0,0.92,0.96,0.44,0.99,0.43,0.27,0.53,0.65,0.31,0.65,0.71,0.99,0.72,0.95,0.52,0.65,0.58,0.6,0.99,0.85,0.43,0.17,0.13,0.9,0.94,0.72,0.6,0.86,0.59,0.27,0.99,0.6,0.5,0.59,0.71,0.54,0.23,0,-2.289047291898547,3.3071086169265986
Jason Rogers,Financial Analyst,0.0,0.7,0.71,0.69,0.73,0.87,0.22,0.08,0.31,0.26,0.63,0.61,0.37,0.46,0.63,0.83,0.62,0.24,0.59,0.91,0.91,0.31,0.33,0.34,0.5,0.66,0.46,0.76,0.77,0.88,0.14,0.43,0.36,0.84,0.11,0.99,0.49,0.43,3,-3.321340929494305,0.0675358257777727
Bryan Chapman,Software Engineer,0.0,0.98,0.64,0.62,0.56,0.94,0.36,0.22,0.14,0.07,0.64,0.85,0.31,0.52,0.74,0.39,0.55,0.22,0.55,0.54,0.83,0.17,0.37,0.17,0.46,0.63,0.51,0.79,0.89,0.79,0.26,0.43,0.76,0.95,0.45,0.61,0.11,0.25,3,-3.5164000435066844,-1.5486799289168462
Jason Rogers,Software Engineer,0.0,0.76,0.9,0.58,0.54,0.84,0.38,0.2,0.26,0.4,0.7,0.01,0.56,0.83,0.68,0.8,0.69,0.37,0.99,0.48,0.62,0.33,0.76,0.5,0.79,0.12,0.78,0.53,0.52,0.55,0.99,0.78,0.61,0.55,0.97,0.24,0.56,0.99,1,3.457834688980099,-2.383278693888649
Casey Garcia,Software Engineer,1.0,0.98,0.85,0.35,0.77,0.94,0.2,0.13,0.4,0.06,0.62,0.87,0.81,0.68,0.82,0.32,0.6,0.42,0.58,0.87,0.8,0.15,0.36,0.29,0.27,0.99,0.51,0.89,0.98,0.66,0.15,0.6,0.42,0.99,0.32,0.98,0.28,0.34,3,-5.207791014936695,0.831646435098141
Todd Harper,Software Engineer,0.5,0.84,0.99,0.72,0.99,0.39,0.29,0.21,0.76,0.34,0.99,0.63,0.99,0.81,0.74,0.61,0.52,0.41,0.73,0.61,0.17,0.35,0.42,0.28,0.5,0.48,0.67,0.35,0.81,0.69,0.65,0.76,0.49,0.86,0.55,0.72,0.39,0.24,0,-0.5228139373658971,2.0101991718248167
Benjamin Ritter,Software Engineer,0.0,0.8,0.88,0.8,0.62,0.85,0.06,0.05,0.32,0.08,0.49,0.82,0.54,0.36,0.49,0.31,0.51,0.01,0.77,0.69,0.81,0.22,0.13,0.36,0.43,0.64,0.51,0.57,0.79,0.81,0.24,0.66,0.54,0.88,0.49,0.94,0.34,0.17,3,-3.700924527228211,-0.6651984359136492
Travis French,Software Engineer,0.5,0.88,0.75,0.79,0.97,0.62,0.35,0.54,0.59,0.36,0.86,0.47,0.76,0.99,0.46,0.88,0.74,0.36,0.45,0.85,0.44,0.58,0.15,0.21,0.74,0.65,0.64,0.56,0.42,0.62,0.52,0.99,0.43,0.82,0.82,0.56,0.28,0.06,0,-0.3301039743857715,2.614904417479964
Michael Vazquez,HR Executive,0.5,0.85,0.74,0.26,0.49,0.26,0.94,0.64,0.49,0.43,0.79,0.56,0.58,0.61,0.38,0.83,0.43,0.74,0.48,0.49,0.38,0.63,0.05,0.65,0.89,0.48,0.44,0.27,0.43,0.43,0.61,0.92,0.22,0.27,0.67,0.43,0.56,0.3,2,4.2188042358888085,4.0588422190562685
Blake Hobbs,Software Engineer,0.0,0.71,0.72,0.83,0.37,0.31,0.53,0.54,0.25,0.24,0.84,0.44,0.35,0.81,0.83,0.93,0.54,0.51,0.79,0.36,0.44,0.69,0.37,0.47,0.86,0.24,0.97,0.89,0.85,0.33,0.91,0.71,0.5,0.25,0.78,0.33,0.15,0.87,1,3.702744287315289,-2.088099598040621
David Estrada,Software Engineer,0.0,0.76,0.67,0.7,0.32,0.54,0.43,0.35,0.37,0.51,0.84,0.54,0.53,0.46,0.33,0.99,0.37,0.31,0.89,0.58,0.55,0.62,0.68,0.28,0.95,0.24,0.73,0.49,0.2,0.45,0.71,0.84,0.56,0.4,0.96,0.18,0.19,0.88,1,4.549022451035705,-0.8637250631511959
Joanne Schmidt,HR Executive,0.5,0.87,0.99,0.74,0.87,0.71,0.33,0.65,0.46,0.45,0.99,0.54,0.72,0.79,0.81,0.56,0.66,0.04,0.81,0.97,0.78,0.49,0.19,0.1,0.58,0.74,0.37,0.48,0.69,0.36,0.25,0.88,0.39,0.78,0.77,0.7,0.5,0.43,0,-1.642056136076492,2.4674803758809185
John Stanley,Software Engineer,0.0,0.72,0.62,0.41,0.47,0.86,0.19,0.48,0.26,0.44,0.58,0.99,0.63,0.68,0.72,0.49,0.99,0.23,0.55,0.66,0.99,0.38,0.52,0.35,0.46,0.81,0.76,0.71,0.99,0.9,0.01,0.78,0.36,0.98,0.49,0.9,0.28,0.46,3,-3.9867507976981074,0.905519555581717
Larry Zimmerman,Marketing Manager,0.5,0.81,0.98,0.49,0.99,0.74,0.27,0.33,0.71,0.07,0.74,0.55,0.84,0.73,0.63,0.52,0.55,0.17,0.78,0.99,0.61,0.61,0.12,0.14,0.77,0.84,0.5,0.6,0.54,0.2,0.48,0.99,0.28,0.57,0.65,0.64,0.55,0.26,0,-1.3421020755110733,2.703316950544615
Michael Harrell,HR Executive,1.0,0.95,0.58,0.84,0.57,0.59,0.27,0.48,0.38,0.63,0.7,0.79,0.23,0.66,0.83,0.34,0.73,0.24,0.57,0.99,0.79,0.28,0.24,0.42,0.48,0.71,0.31,0.79,0.8,0.84,0.12,0.86,0.68,0.99,0.52,0.94,0.03,0.58,3,-3.249225049476181,0.4253699778873413
Lisa Blair,Software Engineer,1.0,0.89,0.79,0.79,0.18,0.62,0.44,0.51,0.29,0.25,0.98,0.21,0.49,0.57,0.85,0.99,0.48,0.47,0.83,0.48,0.46,0.15,0.55,0.25,0.75,0.3,0.64,0.74,0.38,0.61,0.72,0.67,0.44,0.5,0.7,0.32,0.27,0.83,1,2.7859693966641226,-2.077250151640745
Joanne Schmidt,Software Engineer,0.5,0.83,0.46,0.7,0.6,0.08,0.95,0.63,0.66,0.85,0.71,0.58,0.42,0.35,0.26,0.8,0.38,0.78,0.49,0.29,0.29,0.94,0.48,0.52,0.76,0.62,0.27,0.57,0.41,0.3,0.78,0.37,0.53,0.31,0.71,0.37,0.84,0.47,2,5.906383716876204,4.139621689397131
Joanne Schmidt,Software Engineer,0.5,0.82,0.51,0.78,0.63,0.77,0.6,0.01,0.42,0.01,0.75,0.99,0.71,0.8,0.79,0.54,0.79,0.55,0.43,0.88,0.91,0.11,0.26,0.06,0.01,0.57,0.54,0.76,0.65,0.8,0.34,0.56,0.39,0.74,0.55,0.59,0.37,0.5,3,-3.3831171544299514,0.30168475168764936
John Smith III,Software Engineer,1.0,0.91,0.94,0.52,0.87,0.41,0.14,0.51,0.77,0.24,0.82,0.53,0.85,0.91,0.87,0.73,0.56,0.25,0.82,0.97,0.52,0.34,0.43,0.2,0.81,0.73,0.34,0.84,0.72,0.49,0.19,0.66,0.29,0.94,0.66,0.92,0.38,0.22,0,-1.9950670138019404,2.5183174181291945
